Sexo;Brasil, Grande Região e Unidade da Federação;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Total;Brasil;3426727;3329120;3329431;3172000;3080266;3107927;3045696;2985406;3044594;3030364;2989981;3041568;3058783;2903933;2962815;2983567
Total;Norte;412255;397627;403184;377741;370556;383876;374274;350559;362351;360779;347453;345804;335794;321727;322247;330118
Total;Nordeste;1120128;1048568;1061519;991631;961747;955903;920418;888306;888028;866167;843051;850652;861143;814951;830215;848830
Total;Sudeste;1235524;1223611;1208492;1171056;1144727;1148738;1140071;1136314;1160645;1167563;1154687;1185960;1193565;1125967;1158271;1153103
Total;Sul;408174;412427;405907;390545;371743;379357;374033;377235;386041;389662;396158;402693;411064;396311;402170;400603
Total;Centro-Oeste;250646;246887;250329;241027;231493;240053;236900;232992;247529;246193;248632;256459;257217;244977;249912;250913
Total;Rondônia;32814;30903;30486;28996;28198;27754;27821;29547;30078;29726;27650;28780;28012;27282;28159;28804
Total;Acre;22437;22110;22900;21456;20555;20987;20009;17845;18748;18554;18816;18396;17927;16821;17562;17656
Total;Amazonas;91978;87838;93399;84827;85938;95985;96200;85268;88976;89622;89220;90002;85818;81830;81489;80767
Total;Roraima;12825;11847;11015;10621;10913;11280;10679;10262;10455;10576;12132;11411;10732;11304;11526;13260
Total;Pará;198186;192561;192668;180515;177233;179535;172697;162287;170151;170561;157859;154643;151037;143533;141407;146124
Total;Amapá;22371;20989;19497;20745;19383;19780;19553;19354;17537;16452;16894;17019;17012;16890;16934;17566
Total;Tocantins;31644;31379;33219;30581;28336;28555;27315;25996;26406;25288;24882;25553;25256;24067;25170;25941
Total;Maranhão;180204;157852;166457;150621;145113;144069;133553;131379;125992;118982;115483;117930;116249;114135;115438;119806
Total;Piauí;60890;62787;63906;58765;57068;54496;51216;51585;52369;50399;48144;49268;49707;48321;49392;50527
Total;Ceará;170689;157655;157778;150519;145168;145225;139872;135560;134965;133239;130325;131047;138354;130276;130222;134489
Total;Rio Grande do Norte;59657;57413;58429;54884;52311;53101;52474;49681;50573;49683;48417;49498;50145;46770;47282;49046
Total;Paraíba;68266;69425;71467;66625;63450;64292;62027;60326;60370;58236;58089;59707;60054;56594;57956;60779
Total;Pernambuco;184168;170363;171203;162211;156061;155402;153872;145237;149162;147426;143605;144754;146615;131819;135987;138354
Total;Alagoas;87717;75523;76136;66649;65587;64570;59641;58101;58294;56728;55540;53651;53877;50356;51465;53398
Total;Sergipe;40862;37984;39500;38050;36745;37046;36436;35309;35912;34652;34561;34591;35008;32507;33975;34418
Total;Bahia;267675;259566;256643;243307;240244;237702;231327;221128;220391;216822;208887;210206;211134;204173;208498;208013
Total;Minas Gerais;308089;296185;295230;284589;271969;272354;265084;262812;266243;265681;262520;270310;270773;256412;263782;265651
Total;Espírito Santo;58985;56796;55808;53644;52930;54247;53226;53309;54625;54350;55398;56439;57454;53736;56741;57210
Total;Rio de Janeiro;237799;235343;228522;219750;216190;211497;216096;213622;223878;225409;220247;229378;227484;210734;222062;220134
Total;São Paulo;630651;635287;628932;613073;603638;610640;605665;606571;615899;622123;616522;629833;637854;605085;615686;610108
Total;Paraná;165806;164971;164588;158255;151167;154212;152083;154517;155433;156992;160431;162880;163360;157226;160049;158501
Total;Santa Catarina;87091;88627;88142;86768;84143;86365;85261;85848;89426;90284;91318;94070;97820;95896;98978;100427
Total;Rio Grande do Sul;155277;158829;153177;145522;136433;138780;136689;136870;141182;142386;144409;145743;149884;143189;143143;141675
Total;Mato Grosso do Sul;46146;45664;44092;42483;40300;46214;43766;42926;55070;52603;52112;50820;50360;49252;48036;47062
Total;Mato Grosso;56593;57661;60194;57491;54913;55431;55702;54131;53429;53336;54719;58684;58407;54656;58497;59556
Total;Goiás;90825;89714;90323;86161;82938;84707;84044;81608;84484;85917;86461;89513;90759;86314;87349;88520
Total;Distrito Federal;57082;53848;55720;54892;53342;53701;53388;54327;54546;54337;55340;57442;57691;54755;56030;55775
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Legenda;;;;;;;;;;;;;;;;;
Símbolo;Significado;;;;;;;;;;;;;;;;
-;"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução.";;;;;;;;;;;;;;;;
0;"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas.";;;;;;;;;;;;;;;;
X;"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido.";;;;;;;;;;;;;;;;
..;"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas.";;;;;;;;;;;;;;;;
...;"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa.";;;;;;;;;;;;;;;;
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)";;;;;;;;;;;;;;;;
